lad_code,transaction_count,median_price_ppd,mean_price_ppd,lower_quartile_ppd,lad_name,region_code,region_name,median_price_ons,median_earnings,affordability_ratio,imd_score_wtd
E06000001,1436,152747.5,176649.606545961,98000.0,Hartlepool,E12000001,North East,132000.0,28204.0,5.41580981421075,35.036692631192025
E06000002,1687,154000.0,170828.52697095435,100000.0,Middlesbrough,E12000001,North East,130000.0,29502.0,5.219985085756898,40.46034571818247
E06000003,1790,165000.0,185213.3033519553,120000.0,Redcar and Cleveland,E12000001,North East,140000.0,28356.0,5.818874312314854,29.791705558511428
E06000004,2750,177500.0,212848.7225454545,127500.0,Stockton-on-Tees,E12000001,North East,150000.0,29537.0,6.009411924027491,25.789575649216818
E06000005,1708,167750.0,193677.6896955504,120000.0,Darlington,E12000001,North East,142500.0,29692.0,5.649669944766267,25.657303090624357
E06000006,1483,187500.0,223480.5091031693,132000.0,Halton,E12000002,North West,158000.0,32465.0,5.77545048513784,32.32484262028583
E06000007,2662,250000.0,289869.0691209617,175000.0,Warrington,E12000002,North West,225000.0,34719.0,7.200668222011003,18.94224276152006
E06000008,2054,166125.0,187321.9931840312,110000.0,Blackburn with Darwen,E12000002,North West,130000.0,30572.0,5.433893758995159,36.01257638513148
E06000009,2012,135000.0,148415.8161033797,102500.0,Blackpool,E12000002,North West,126250.0,27064.0,4.98817617499261,45.038551297784
E06000010,2770,136000.0,147694.88519855594,105000.0,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,125000.0,29790.0,4.565290365894596,40.56396764042505
E06000011,6049,225000.0,253330.1196892048,165000.0,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,200000.0,29355.0,7.664793050587634,15.604539114815433
E06000012,2271,162500.0,181414.08146191103,113250.0,North East Lincolnshire,E12000003,Yorkshire and The Humber,144000.0,26631.0,6.101911306372273,31.33506928755837
E06000013,2290,175000.0,199618.6379912664,137000.0,North Lincolnshire,E12000003,Yorkshire and The Humber,160000.0,29973.0,5.838588062589664,22.095774391644046
E06000014,2823,310000.0,353491.5455189515,243000.0,York,E12000003,Yorkshire and The Humber,275000.0,32151.0,9.642001803987434,11.727046738195131
E06000015,2851,214000.0,235510.76394247636,165000.0,Derby,E12000004,East Midlands,182750.0,35179.0,6.083174621222889,26.32281416445101
E06000016,2151,240000.0,253596.7880055788,186600.0,Leicester,E12000004,East Midlands,217000.0,29411.0,8.160212165516304,30.876747428870505
E06000017,628,360000.0,433985.3343949045,260000.0,Rutland,E12000004,East Midlands,287500.0,34355.0,10.47882404307961,8.380933105494623
E06000018,2731,190000.0,218380.923471256,155000.0,Nottingham,E12000004,East Midlands,168000.0,29144.0,6.519352182267362,34.891123760915555
E06000019,2605,300000.0,347505.59616122843,220000.0,"Herefordshire, County of",E12000005,West Midlands,265000.0,28366.0,10.576041740111402,18.88951891025981
E06000020,2425,230000.0,249948.3492783505,175000.0,Telford and Wrekin,E12000005,West Midlands,200000.0,30601.0,7.516094245286101,24.98797070079276
